排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
116,化妆品概念,BK0974,1092.63,-11.68,-1.06,678719088000,3.32,16,42,两面针,10.01
117,财税数字化,BK1176,1525.14,-16.35,-1.06,468438128000,3.49,8,32,南天信息,6.2
118,京东金融,BK0849,1450.26,-15.75,-1.07,234564164000,1.18,5,6,北京银行,1.15
119,基金重仓,BK0536,9431.74,-104.56,-1.1,12736629504000,1.37,108,321,开润股份,15.27
120,网红直播,BK0940,643.24,-7.13,-1.1,1569786192000,3.58,26,103,桂发祥,10.02
121,商汤概念,BK0942,1075.62,-12.0,-1.1,441311104000,1.34,5,9,国中水务,1.97
122,雄安新区,BK0813,819.11,-9.18,-1.11,2260698096000,1.45,31,115,华建集团,10.07
123,国产芯片,BK0891,2923.79,-32.83,-1.11,9423322624000,2.16,78,283,翠微股份,9.97
124,知识产权,BK0839,1660.26,-18.88,-1.12,331509040000,2.71,8,34,集泰股份,9.96
125,长江三角,BK0594,2262.48,-25.68,-1.12,7980681728000,1.6,88,309,立方制药,9.99
126,一带一路,BK0712,1237.02,-14.05,-1.12,13299802624000,0.97,111,334,南 京 港,10.07
127,养老金,BK0823,1295.37,-14.73,-1.12,2839735056000,1.45,40,142,华贸物流,10.03
128,首发经济,BK1186,884.82,-10.03,-1.12,276618336000,3.9,10,28,全 聚 德,4.79
129,机构重仓,BK0552,13066.81,-150.7,-1.14,44595839744000,0.83,238,705,浔兴股份,9.95
130,粮食概念,BK1086,789.53,-9.18,-1.15,245073302000,5.43,7,25,华资实业,10.05
131,阿兹海默,BK0894,1618.02,-18.81,-1.15,145817844000,2.98,1,13,双成药业,10.05
132,Kimi概念,BK1169,982.92,-11.51,-1.16,463195088000,3.27,7,18,福昕软件,3.88
133,碳交易,BK0966,1378.87,-16.27,-1.17,2360476192000,0.92,25,96,天沃科技,10.02
134,户外露营,BK1079,1184.31,-13.96,-1.17,124951695000,4.42,4,22,开润股份,15.27
135,影视概念,BK0847,833.28,-10.02,-1.19,578325312000,2.1,10,53,慈文传媒,9.94
136,工业气体,BK0981,1385.93,-16.68,-1.19,369562192000,1.5,4,22,宁波能源,2.61
137,西部大开发,BK0590,2639.92,-31.95,-1.2,10760625664000,1.76,130,457,乐山电力,10.01
138,稀土永磁,BK0578,2193.27,-26.77,-1.21,934490640000,1.69,15,45,赤峰黄金,8.08
139,互联医疗,BK0837,912.43,-11.16,-1.21,4735779584000,1.55,15,78,创识科技,20.0
140,小红书概念,BK1187,1026.6,-12.58,-1.21,428847296000,4.63,13,49,贝因美,9.94
141,PPP模式,BK0721,652.8,-7.99,-1.21,2193261312000,1.38,33,113,天府文旅,6.83
