Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_SMA(C,10)","Exit_SMA(C,10)","Entry_SMA(C,20)","Exit_SMA(C,20)"
-281,1111,1125,9.97,10.09,,,-33.71999999999978,-0.012036108324974926,1111,1125,14,,9.902999999999999,9.894,9.946,9.8595
273,1125,1138,10.09,9.61,,,-131.0400000000001,-0.04757185332011893,1125,1138,13,,9.894,9.822999999999999,9.8595,9.928
-272,1138,1150,9.61,11.37,,,-478.7199999999999,-0.1831425598335068,1138,1150,12,,9.822999999999999,10.236999999999998,9.928,9.9765
187,1150,1168,11.37,11.33,,,-7.4799999999998406,-0.0035180299032541162,1150,1168,18,,10.236999999999998,11.684000000000001,9.9765,11.783000000000001
-186,1168,1181,11.33,11.75,,,-78.11999999999999,-0.03706972639011474,1168,1181,13,,11.684000000000001,11.633999999999999,11.783000000000001,11.604000000000001
172,1181,1186,11.75,11.18,,,-98.04000000000005,-0.04851063829787239,1181,1186,5,,11.633999999999999,11.498000000000001,11.604000000000001,11.527
-171,1186,1197,11.18,11.79,,,-104.3099999999999,-0.054561717352414885,1186,1197,11,,11.498000000000001,11.535,11.527,11.5055
153,1197,1217,11.79,11.5,,,-44.36999999999987,-0.024597116200169578,1197,1217,20,,11.535,11.599999999999998,11.5055,11.644
-152,1217,1237,11.5,11.49,,,1.5199999999999676,0.0008695652173912327,1217,1237,20,,11.599999999999998,11.424,11.644,11.389
152,1237,1253,11.49,11.66,,,25.83999999999999,0.014795474325500324,1237,1253,16,,11.424,11.571,11.389,11.5895
-151,1253,1257,11.66,11.82,,,-24.16000000000002,-0.013722126929674117,1253,1257,4,,11.571,11.684000000000001,11.5895,11.6585
147,1257,1266,11.82,11.37,,,-66.15000000000016,-0.038071065989847774,1257,1266,9,,11.684000000000001,11.497,11.6585,11.5685
