序号,股票代码,股票简称,最新价,量价齐升天数,阶段涨幅,累计换手率,所属行业
196,300886,华业香料,19.67,2,2.93,7.17,美容护理
197,300888,稳健医疗,44.44,2,4.81,5.53,美容护理
198,300908,仲景食品,30.04,2,4.05,5.11,食品加工制造
199,300949,奥雅股份,29.09,2,-0.51,3.87,建筑装饰
200,300983,尤安设计,16.21,2,0.31,1.16,建筑装饰
201,300986,志特新材,17.21,2,3.49,6.1,建筑材料
202,300994,久祺股份,14.24,2,25.91,17.01,汽车服务及其他
203,300997,欢乐家,16.36,2,12.44,12.03,饮料制造
204,301000,肇民科技,39.66,2,7.07,13.78,汽车零部件
205,301001,凯淳股份,28.84,2,5.06,19.75,互联网电商
206,301009,可靠股份,10.74,2,2.29,10.28,美容护理
207,301011,华立科技,25.35,2,1.68,18.67,家居用品
208,301025,读客文化,11.41,2,19.6,18.5,文化传媒
209,301043,绿岛风,28.73,2,6.45,1.91,通用设备
210,301055,张小泉,15.76,2,10.99,7.9,家居用品
211,301059,金三江,9.88,2,2.81,5.87,美容护理
212,301090,华润材料,6.94,2,0.73,2.96,化学制品
213,301102,兆讯传媒,9.72,2,1.89,7.62,文化传媒
214,301110,青木科技,47.47,2,7.89,22.8,互联网电商
215,301119,正强股份,29.48,2,11.75,6.75,汽车零部件
216,301149,隆华新材,9.26,2,-0.22,5.07,化学制品
217,301170,锡南科技,21.92,2,2.1,9.08,汽车零部件
218,301235,华康洁净,19.45,2,2.31,4.44,医疗服务
219,301248,杰创智能,18.89,2,3.56,22.42,IT服务
220,301270,汉仪股份,32.35,2,6.84,10.54,软件开发
221,301276,嘉曼服饰,20.4,2,2.93,15.42,服装家纺
222,301310,鑫宏业,28.56,2,3.48,13.91,汽车零部件
223,301376,致欧科技,17.39,2,2.05,3.32,家居用品
224,301381,赛维时代,20.75,2,6.96,6.81,互联网电商
225,301528,多浦乐,41.96,2,4.74,4.04,通用设备
226,301535,浙江华远,19.24,2,7.01,63.19,汽车零部件
227,301558,三态股份,10.47,2,41.3,74.09,互联网电商
228,301606,绿联科技,34.73,2,1.49,20.75,消费电子
229,600000,浦发银行,10.51,2,4.37,0.45,银行
230,600015,华夏银行,7.88,2,4.1,0.52,银行
231,600028,中国石化,5.66,2,1.8,0.27,石油加工贸易
232,600053,九鼎投资,13.1,2,6.16,9.41,多元金融
233,600101,明星电力,12.96,2,11.92,45.98,电力
234,600113,浙江东日,14.08,2,2.77,1.88,零售
235,600156,华升股份,5.21,2,8.32,8.91,纺织制造
236,600163,中闽能源,5.3,2,5.79,1.65,电力
237,600189,泉阳泉,6.63,2,0.76,2.68,饮料制造
238,600216,浙江医药,12.76,2,1.75,3.54,化学制药
239,600223,福瑞达,7.82,2,4.13,4.92,美容护理
240,600232,金鹰股份,5.16,2,0.98,2.83,纺织制造
241,600273,嘉化能源,8.17,2,2.51,4.11,化学制品
242,600287,ST舜天,4.42,2,4.74,1.3,贸易
243,600305,恒顺醋业,7.79,2,3.59,2.98,食品加工制造
244,600352,浙江龙盛,9.74,2,8.46,2.7,化学制品
245,600356,恒丰纸业,7.27,2,1.25,2.01,造纸
246,600367,红星发展,12.86,2,1.26,9.25,化学原料
247,600396,华电辽能,2.56,2,4.49,2.56,电力
248,600400,红豆股份,2.19,2,1.39,2.29,服装家纺
249,600439,瑞贝卡,3.74,2,18.35,8.65,服装家纺
250,600444,国机通用,13.89,2,1.02,4.17,专用设备
251,600461,洪城环境,10.2,2,3.76,4.33,环境治理
252,600505,西昌电力,13.94,2,23.04,25.3,电力
253,600538,国发股份,4.86,2,0.83,3.46,医疗器械
254,600568,ST中珠,1.28,2,0.79,1.33,医疗服务
255,600644,乐山电力,9.34,2,33.05,16.28,电力
256,600684,珠江股份,3.29,2,1.54,4.32,房地产
257,600714,金瑞矿业,10.39,2,3.59,9.94,化学原料
258,600727,鲁北化工,7.74,2,0.39,17.07,化学制品
259,600731,湖南海利,6.54,2,4.47,6.12,农化制品
260,600734,实达集团,3.9,2,-3.94,6.85,IT服务
261,600744,华银电力,3.7,2,7.25,14.85,电力
262,600857,宁波中百,9.34,2,3.43,17.99,零售
263,600866,星湖科技,6.98,2,7.55,5.99,化学制品
264,600880,博瑞传播,4.29,2,0.7,3.15,教育
265,600882,妙可蓝多,28.14,2,9.07,10.79,饮料制造
266,600908,无锡银行,5.51,2,2.04,1.68,银行
267,600925,苏能股份,5.13,2,1.58,0.93,煤炭开采加工
268,600962,国投中鲁,12.54,2,2.03,4.51,饮料制造
269,600969,郴电国际,7.17,2,11.16,15.22,电力
270,600981,汇鸿集团,2.76,2,12.2,6.6,贸易
271,600987,航民股份,7.0,2,1.89,2.23,纺织制造
272,601009,南京银行,10.45,2,2.35,0.61,银行
273,601016,节能风电,2.86,2,1.06,1.8,电力
274,601033,永兴股份,15.63,2,2.02,6.48,环境治理
275,601089,福元医药,14.85,2,-0.27,3.96,化学制药
276,601166,兴业银行,20.94,2,0.92,0.46,银行
277,601169,北京银行,6.12,2,2.0,0.77,银行
278,601279,英利汽车,3.52,2,8.31,1.41,汽车零部件
279,601500,通用股份,4.61,2,,4.42,汽车零部件
280,601528,瑞丰银行,5.08,2,1.8,1.82,银行
281,601595,上海电影,30.69,2,6.49,4.58,影视院线
282,601609,金田股份,6.03,2,5.42,1.51,工业金属
283,601658,邮储银行,5.25,2,2.94,0.58,银行
284,601665,齐鲁银行,6.15,2,2.5,1.04,银行
285,601818,光大银行,3.78,2,3.56,0.65,银行
286,601963,重庆银行,9.96,2,6.75,1.17,银行
287,601985,中国核电,9.41,2,1.95,0.9,电力
288,601988,中国银行,5.62,2,3.69,0.23,银行
289,601991,大唐发电,2.93,2,4.27,1.69,电力
290,603023,*ST威帝,3.05,2,2.35,1.3,汽车零部件
291,603026,石大胜华,33.73,2,0.36,2.29,电池
292,603032,德新科技,12.69,2,1.04,3.27,电池
293,603037,凯众股份,14.57,2,-0.21,6.37,汽车零部件
294,603059,倍加洁,21.35,2,0.61,2.96,美容护理
295,603060,国检集团,6.39,2,-0.16,1.65,其他社会服务
296,603073,彩蝶实业,14.82,2,2.99,9.17,纺织制造
297,603090,宏盛股份,23.51,2,19.89,8.66,通用设备
298,603097,江苏华辰,20.8,2,,4.6,电网设备
299,603110,东方材料,16.85,2,17.26,8.44,化学制品
300,603116,红蜻蜓,4.82,2,1.05,3.17,服装家纺
301,603170,宝立食品,13.79,2,4.0,6.03,食品加工制造
302,603172,万丰股份,13.51,2,1.73,6.31,化学制品
303,603176,汇通集团,4.4,2,0.23,1.75,建筑装饰
304,603177,德创环保,7.37,2,1.24,4.31,环境治理
305,603192,汇得科技,15.98,2,3.77,5.75,化学制品
306,603193,润本股份,35.49,2,4.38,10.88,美容护理
307,603197,保隆科技,34.29,2,-5.93,4.89,汽车零部件
308,603213,镇洋发展,8.72,2,1.99,2.1,化学原料
309,603217,元利科技,17.03,2,6.64,3.44,化学制品
310,603222,济民健康,5.92,2,0.51,3.0,医疗器械
311,603227,雪峰科技,10.1,2,9.07,5.51,化学原料
312,603237,五芳斋,19.33,2,3.7,14.74,食品加工制造
313,603273,天元智能,16.51,2,6.31,11.92,工程机械
314,603279,景津装备,16.83,2,5.85,1.94,通用设备
315,603282,亚光股份,14.67,2,1.95,3.26,环保设备
316,603312,西典新能,38.13,2,4.87,8.65,电网设备
317,603317,天味食品,14.31,2,1.78,3.99,食品加工制造
318,603321,梅轮电梯,6.93,2,-0.72,3.38,专用设备
319,603356,华菱精工,12.07,2,-1.07,3.03,专用设备
320,603363,*ST傲农,3.53,2,6.65,2.66,农产品加工
321,603365,水星家纺,14.68,2,1.1,0.7,服装家纺
322,603367,辰欣药业,13.68,2,1.63,1.61,化学制药
323,603373,安邦护卫,28.63,2,1.17,3.96,其他社会服务
324,603377,ST东时,3.02,2,1.0,3.83,教育
325,603378,亚士创能,6.82,2,11.26,5.37,建筑材料
326,603429,集友股份,8.25,2,8.27,3.94,包装印刷
327,603511,爱慕股份,13.98,2,9.05,1.96,服装家纺
328,603517,绝味食品,17.32,2,8.25,17.66,食品加工制造
329,603518,锦泓集团,8.53,2,1.31,8.58,服装家纺
330,603533,掌阅科技,17.69,2,1.9,2.67,文化传媒
331,603580,艾艾精工,16.57,2,1.47,3.44,塑料制品
332,603586,金麒麟,12.89,2,0.55,2.25,汽车零部件
333,603590,康辰药业,29.78,2,7.39,7.29,生物制品
334,603598,引力传媒,15.85,2,-0.19,6.78,文化传媒
335,603599,广信股份,10.66,2,-2.2,1.58,农化制品
336,603608,*ST天创,4.75,2,11.24,1.61,服装家纺
337,603630,拉芳家化,19.44,2,12.57,18.94,美容护理
338,603637,镇海股份,9.45,2,7.39,6.6,建筑装饰
339,603661,恒林股份,25.8,2,0.98,1.53,家居用品
340,603697,有友食品,11.67,2,6.09,10.49,食品加工制造
341,603725,天安新材,6.6,2,3.61,3.49,家居用品
342,603866,桃李面包,5.96,2,4.56,4.52,食品加工制造
343,603869,ST智知,5.7,2,3.64,0.66,IT服务
344,603887,城地香江,17.84,2,-0.34,9.73,通信服务
345,603917,合力科技,12.07,2,5.69,10.59,汽车零部件
346,603950,长源东谷,22.86,2,-0.13,2.91,汽车零部件
347,603955,大千生态,20.33,2,18.61,8.26,建筑装饰
348,603959,ST百利,3.56,2,5.64,3.14,电池
349,603969,银龙股份,5.8,2,0.69,2.95,通用设备
350,603983,丸美生物,41.08,2,9.4,2.55,美容护理
351,603998,方盛制药,9.74,2,2.31,6.37,中药
352,605009,豪悦护理,54.63,2,8.18,7.18,美容护理
353,605069,正和生态,8.9,2,5.33,42.56,环境治理
354,605179,一鸣食品,21.95,2,5.07,9.84,饮料制造
355,605339,南侨食品,16.84,2,3.5,0.75,食品加工制造
356,605366,宏柏新材,5.36,2,0.19,1.34,化学制品
357,605377,华旺科技,11.66,2,0.95,0.75,造纸
358,605499,东鹏饮料,274.9,2,7.71,0.98,饮料制造
359,688068,热景生物,118.78,2,6.77,6.11,医疗器械
360,688109,品茗科技,27.83,2,9.57,5.07,软件开发
361,688156,路德环境,16.37,2,10.31,13.34,农产品加工
362,688163,赛伦生物,16.44,2,0.37,5.44,生物制品
363,688196,卓越新能,43.71,2,4.34,3.06,化学制品
364,688203,海正生材,9.53,2,0.11,1.94,塑料制品
365,688365,光云科技,11.53,2,0.87,5.87,IT服务
366,688499,利元亨,23.27,2,-0.21,5.23,电池
367,688518,联赢激光,14.8,2,-0.13,4.18,自动化设备
368,688737,中自科技,16.54,2,-1.08,4.82,汽车零部件
369,000004,国华网安,9.65,1,-5.95,11.42,软件开发
370,000026,飞亚达,10.28,1,-1.06,1.19,服装家纺
371,000030,富奥股份,5.17,1,-0.77,1.31,汽车零部件
372,000032,深桑达A,21.68,1,-2.74,4.31,建筑装饰
373,000036,华联控股,3.53,1,-3.82,1.28,房地产
374,000158,常山北明,20.0,1,-2.49,4.12,IT服务
375,000409,云鼎科技,10.77,1,-2.8,8.72,IT服务
376,000423,东阿阿胶,62.91,1,-0.03,0.95,中药
377,000506,*ST中润,6.42,1,5.07,3.46,贵金属
378,000510,新金路,4.66,1,-8.45,17.55,化学原料
379,000521,长虹美菱,7.72,1,-1.4,4.84,白色家电
380,000523,红棉股份,3.39,1,-1.45,2.63,综合
381,000538,云南白药,57.0,1,-0.42,0.5,中药
382,000559,万向钱潮,6.1,1,-4.84,1.87,汽车零部件
383,000591,太阳能,4.33,1,-0.46,0.61,电力
384,000601,韶能股份,5.94,1,-3.26,21.61,电力
385,000607,华媒控股,3.73,1,-2.1,1.47,文化传媒
386,000635,英力特,7.8,1,-2.38,1.07,化学原料
387,000636,风华高科,13.28,1,-2.5,1.43,元件
388,000637,茂化实华,3.22,1,-3.01,1.59,石油加工贸易
389,000638,万方发展,4.92,1,-3.15,3.24,农产品加工
390,000659,珠海中富,3.34,1,,3.81,包装印刷
391,000670,盈方微,6.5,1,-7.01,19.91,其他电子
392,000672,上峰水泥,8.11,1,-0.37,1.32,建筑材料
393,000678,襄阳轴承,11.29,1,-5.13,15.9,汽车零部件
394,000681,视觉中国,18.84,1,-3.09,6.59,文化传媒
395,000711,*ST京蓝,1.85,1,-1.6,5.19,环境治理
