序号,股票代码,股票简称,最新价,量价齐升天数,阶段涨幅,累计换手率,所属行业
907,605116,奥锐特,20.59,1,-3.33,0.83,化学制药
908,605122,四方新材,10.23,1,-1.92,0.9,建筑材料
909,605180,华生科技,12.61,1,-2.1,2.09,纺织制造
910,605188,国光连锁,11.4,1,10.04,3.1,零售
911,605208,永茂泰,10.07,1,-4.09,14.58,工业金属
912,605300,佳禾食品,14.17,1,-1.05,1.84,饮料制造
913,605337,李子园,13.24,1,2.64,6.86,饮料制造
914,605338,巴比食品,20.08,1,-2.14,4.6,食品加工制造
915,605368,蓝天燃气,10.54,1,-1.03,0.55,燃气
916,605388,均瑶健康,6.6,1,0.61,1.95,饮料制造
917,605500,森林包装,6.57,1,-1.2,0.43,造纸
918,605599,菜百股份,13.19,1,2.97,1.61,服装家纺
919,688030,山石网科,14.99,1,-3.66,0.88,软件开发
920,688049,炬芯科技,49.4,1,-1.36,10.72,半导体
921,688058,宝兰德,26.98,1,-3.23,1.47,软件开发
922,688077,大地熊,23.42,1,-3.82,3.15,金属新材料
923,688089,嘉必优,24.54,1,-2.04,7.12,化学制品
924,688090,瑞松科技,36.02,1,-4.58,2.34,自动化设备
925,688098,申联生物,5.48,1,-6.16,0.78,养殖业
926,688105,诺唯赞,24.88,1,-2.09,0.97,生物制品
927,688116,天奈科技,39.42,1,-1.42,3.3,电池
928,688137,近岸蛋白,32.04,1,-1.6,1.54,生物制品
929,688139,海尔生物,32.7,1,-0.79,0.88,医疗器械
930,688155,先惠技术,39.72,1,-2.58,1.6,电池
931,688160,步科股份,103.51,1,-1.31,3.0,自动化设备
932,688178,万德斯,18.62,1,-4.51,2.57,环境治理
933,688184,帕瓦股份,11.76,1,-1.67,0.65,电池
934,688187,时代电气,44.83,1,-2.5,1.91,轨交设备
935,688217,睿昂基因,20.62,1,-2.09,0.86,医疗器械
936,688225,亚信安全,21.53,1,-1.6,3.19,软件开发
937,688229,博睿数据,45.36,1,-6.92,5.27,IT服务
938,688246,嘉和美康,29.28,1,-2.69,2.57,软件开发
939,688265,南模生物,25.1,1,-3.9,1.83,医疗服务
940,688269,凯立新材,27.62,1,-2.51,2.02,化学制品
941,688277,天智航,11.48,1,-4.09,1.09,医疗器械
942,688295,中复神鹰,19.82,1,-0.55,0.3,化学纤维
943,688303,大全能源,18.75,1,0.54,1.2,光伏设备
944,688317,之江生物,16.14,1,-2.18,0.55,医疗器械
945,688329,艾隆科技,14.72,1,-1.6,0.99,自动化设备
946,688353,华盛锂电,20.39,1,-0.97,1.62,电池
947,688356,键凯科技,57.22,1,-4.33,1.82,化学制药
948,688363,华熙生物,47.66,1,-1.3,0.62,美容护理
949,688366,昊海生科,53.7,1,-3.49,0.43,医疗器械
950,688367,工大高科,15.0,1,-1.19,0.9,轨交设备
951,688369,致远互联,28.02,1,-1.99,3.42,软件开发
952,688377,迪威尔,18.32,1,-2.45,1.21,专用设备
953,688390,固德威,44.26,1,0.23,2.05,光伏设备
954,688400,凌云光,24.9,1,-3.19,7.85,自动化设备
955,688409,富创精密,51.4,1,-3.4,2.86,半导体
956,688466,金科环境,15.56,1,-1.71,0.37,环境治理
957,688489,三未信安,33.26,1,-2.12,1.19,计算机设备
958,688501,青达环保,20.72,1,-3.13,3.97,环保设备
959,688506,百利天恒,255.14,1,-1.61,1.45,化学制药
960,688528,秦川物联,8.25,1,-3.28,0.53,通用设备
961,688565,力源科技,6.36,1,-2.0,1.23,环境治理
962,688567,孚能科技,12.32,1,-2.76,1.01,电池
963,688573,信宇人,16.7,1,-4.02,10.8,电池
964,688577,浙海德曼,56.6,1,-1.12,1.94,通用设备
965,688603,天承科技,71.51,1,0.32,4.18,电子化学品
966,688615,合合信息,226.33,1,0.81,11.82,软件开发
967,688619,罗普特,8.26,1,-1.9,0.8,计算机设备
968,688621,阳光诺和,43.3,1,-3.56,3.66,医疗服务
969,688630,芯碁微装,70.51,1,-2.38,4.8,专用设备
970,688659,元琛科技,6.39,1,-3.18,1.74,化学制品
971,688679,通源环境,10.66,1,1.33,1.44,环境治理
972,688716,中研股份,30.34,1,-2.54,3.93,塑料制品
973,688778,厦钨新能,45.98,1,-0.9,1.37,电池
974,688788,科思科技,74.28,1,-3.87,1.96,军工电子
975,688819,天能股份,24.8,1,-2.02,0.22,电池
