日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,RSI,volume_roc,CDLMORNINGSTAR,CDLENGULFING
2025-03-31,300634,26.0,26.52,26.69,25.34,168113,437826512.0,5.14,1.07,0.28,3.87,40.039561628556235,50.91069040117058,0,100.0
2025-03-31,002987,18.35,18.84,19.0,17.97,156773,289682257.37,5.51,0.86,0.16,2.6,45.455508219006155,103.76007278398754,0,100.0
2025-03-31,300996,23.34,24.56,24.7,22.86,103033,245475998.0,7.82,4.42,1.04,6.1,50.26553358451491,120.20774113573705,0,100.0
2025-03-31,300674,23.97,24.4,24.56,23.02,304317,723851898.0,6.36,0.78,0.19,4.33,41.66204868444752,174.47597229237317,0,100.0
2025-03-31,300840,22.31,23.6,23.64,22.01,220427,505914618.0,7.15,3.55,0.81,12.87,45.90392480556937,120.13202308906065,0,100.0
2025-03-31,603496,27.91,28.8,29.0,27.02,263911,734624703.0,7.02,2.09,0.59,8.24,41.49051655673557,61.070626434256134,0,100.0
2025-03-31,300170,18.41,19.48,19.72,17.85,1169155,2204662462.0,10.0,4.17,0.78,12.34,48.931587203593004,154.06526590739688,0,100.0
2025-03-31,300571,29.56,30.45,30.9,29.22,58035,173700437.0,5.59,1.33,0.4,5.02,39.65920495490957,53.00957051332753,0,100.0
2025-03-31,002530,9.93,10.16,10.25,9.63,386093,382362047.16,6.18,1.3,0.13,5.55,37.113140245213685,99.88455047163463,0,100.0
2025-03-31,300824,9.93,10.49,10.56,9.89,166560,172140483.0,6.63,3.76,0.38,5.27,66.68796783992774,75.95977096494751,0,100.0
2025-03-31,002657,18.54,20.01,20.68,18.0,378052,725835585.1,14.22,6.15,1.16,11.24,47.09910920126361,91.13807573689266,0,100.0
2025-03-31,603203,24.5,25.15,25.88,24.1,65277,164593321.0,7.24,2.36,0.58,2.62,52.863050268797295,448.03962723532874,0,100.0
2025-03-31,002712,5.46,5.66,5.66,5.23,234549,126838390.43,7.86,3.47,0.19,4.34,46.9723095640243,83.58562930494678,0,100.0
