序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,concept
24,605123,派克新材,53.74,-0.44,-0.24,8166,44362135.0,2.26,54.95,53.73,54.35,53.98,0.67,19.77,1.49,大飞机
25,600760,中航沈飞,43.79,-0.48,-0.21,72141,318242332.0,2.39,44.75,43.7,44.7,44.0,0.26,35.55,7.07,大飞机
26,000534,万泽股份,14.03,-0.71,-0.1,88501,129012068.0,6.94,15.01,14.03,14.46,14.13,1.78,36.69,5.2,大飞机
27,002179,中航光电,42.25,-0.82,-0.35,41284,175364302.13,1.95,42.98,42.15,42.43,42.6,0.2,26.68,3.79,大飞机
28,600038,中直股份,35.95,-0.94,-0.34,27437,99613080.0,1.98,36.65,35.93,36.5,36.29,0.41,53.03,1.82,大飞机
29,300855,图南股份,22.01,-0.95,-0.21,40646,90167597.4,3.92,22.72,21.85,22.41,22.22,1.39,25.3,4.41,大飞机
30,300034,钢研高纳,15.7,-0.95,-0.15,87197,139814829.4,3.97,16.33,15.7,16.1,15.85,1.14,39.95,3.32,大飞机
31,300726,宏达电子,37.04,-0.99,-0.37,79286,296303067.26,4.41,38.2,36.55,37.18,37.41,3.71,43.73,3.11,大飞机
32,301233,盛帮股份,42.93,-1.04,-0.45,8227,36211191.0,6.18,45.5,42.82,43.3,43.38,4.41,25.67,2.39,大飞机
33,000738,航发控制,17.92,-1.05,-0.19,96628,177233958.17,4.86,18.78,17.9,18.77,18.11,0.73,31.41,1.91,大飞机
34,300900,广联航空,18.65,-1.11,-0.21,77985,150345784.8,7.1,19.98,18.64,19.61,18.86,3.55,80.88,3.78,大飞机
37,601163,三角轮胎,13.61,-1.23,-0.17,14355,19666717.0,1.23,13.78,13.61,13.78,13.78,0.18,9.24,0.82,大飞机
38,605222,起帆电缆,14.51,-1.23,-0.18,6189,9013050.0,1.09,14.66,14.5,14.63,14.69,0.15,21.37,1.32,大飞机
39,601727,上海电气,7.17,-1.24,-0.09,417041,300983816.0,1.93,7.3,7.16,7.24,7.26,0.33,148.45,2.1,大飞机
40,002049,紫光国微,68.51,-1.27,-0.88,107204,740650406.58,1.87,69.8,68.5,69.09,69.39,1.26,48.89,4.69,大飞机
41,002023,海特高新,9.19,-1.29,-0.12,68952,64675194.0,3.54,9.51,9.18,9.33,9.31,0.93,82.5,1.59,大飞机
42,000801,四川九洲,14.69,-1.41,-0.21,139161,207309826.0,2.68,15.08,14.68,14.88,14.9,1.36,77.28,4.92,大飞机
43,002297,博云新材,6.24,-1.42,-0.09,152177,98918286.39,7.11,6.69,6.24,6.52,6.33,2.66,-53.19,1.74,大飞机
45,600118,中国卫星,25.88,-1.45,-0.38,49051,127978726.0,2.51,26.49,25.83,26.39,26.26,0.41,1096.33,4.83,大飞机
46,600219,南山铝业,3.37,-1.46,-0.05,429690,145392768.0,2.05,3.43,3.36,3.42,3.42,0.37,8.1,0.78,大飞机
47,002967,广电计量,20.0,-1.48,-0.3,33193,66755807.0,2.56,20.45,19.93,20.29,20.3,0.63,33.13,3.5,大飞机
48,002111,威海广泰,9.81,-1.51,-0.15,36535,36372085.0,3.82,10.18,9.8,9.97,9.96,0.76,30.37,1.7,大飞机
50,603809,豪能股份,15.05,-1.7,-0.26,83010,126403084.0,3.53,15.5,14.96,15.23,15.31,1.29,29.98,3.27,大飞机
